word,count,in_allowed_objects
텍스트,14,True
배경,11,False
문구,8,True
화면,7,True
사람,7,True
숫자,6,True
손,5,False
옷,4,False
차트,4,True
시간,4,False
화살표,4,False
글자,4,False
안경,4,True
하늘,4,False
티셔츠,4,True
팔,3,False
검은색,3,False
알림,3,False
그래프,3,True
주식,3,True
확인,3,False
모자,3,True
앱,3,False
주가,3,True
흰색,3,False
문,3,False
가방,3,False
바닥,3,True
건물,3,False
표지판,3,False
창문,3,True
주방,3,False
알바,3,False
손목,2,False
파란색,2,False
로고,2,True
메시지,2,True
가격,2,False
텔레그램,2,False
캡션,2,False
누가,2,False
해골,2,False
EYKKAC,2,False
추천인,2,False
어플,2,False
저장,2,False
친구,2,False
금고,2,False
주식 가격,2,True
주식 차트,2,True
카톡문의,2,True
000원,2,False
사라,2,False
꼭,2,False
셔츠,2,True
DDPark,2,False
목표가격,2,False
판다,2,False
SK하이닉스,2,False
삼성전자,2,False
물병,2,False
자막,2,True
책상,2,True
추천,2,False
아이콘,2,False
검은색옷,2,False
소화기,2,True
텀블러,2,False
검은색 신발,2,False
오리,2,True
파란색 티셔츠,2,False
출입문,2,False
파란색 조끼,2,False
물,2,False
회색 바지,2,False
출입카드,2,False
손목시계,2,True
고기,2,False
접시,2,True
머리,2,False
나무,2,False
프레임,2,False
캐릭터,2,False
제목,2,True
동영상,2,False
앞치마,2,False
지퍼,1,False
회색,1,False
주머니,1,False
형광색,1,False
옷걸이,1,True
패딩,1,True
태그,1,False
변동,1,False
카톡,1,False
나스닥,1,False
문의,1,False
투자,1,False
날짜,1,True
연락처,1,False
인증,1,True
링크,1,False
점자 표시,1,False
금액,1,True
카드 번호 입력 화면,1,False
손가락,1,False
잔고,1,False
버튼,1,True
숫자 키패드,1,False
봐도,1,False
화살표 키,1,False
텍스트 메시지,1,False
@kskns3576,1,False
점자,1,False
물음표,1,False
구라잖아,1,False
이모지,1,False
상자,1,True
골드바,1,False
한국 지폐,1,False
영어 문구,1,False
금캐기 어플,1,False
카드,1,True
금괴,1,False
이모티콘,1,False
신규 가입,1,False
@kskn3576,1,False
타점,1,False
네온 텍스트,1,False
주식 수량,1,False
수량,1,False
파란색 텍스트,1,False
취소,1,False
평가손익,1,False
카톡 문의,1,False
청산,1,False
불꽃놀이,1,False
주문,1,False
주식 거래 내역,1,False
불꽃,1,False
빨간색 텍스트,1,False
aia777,1,False
단기,1,False
목표,1,False
9,1,False
9월,1,False
저가,1,False
우량주,1,False
최강,1,False
현재,1,False
851원,1,False
659,1,False
전에는,1,False
10월,1,False
농심홀딩스,1,False
전일대비,1,False
1,1,False
18,1,False
18.53,1,False
21,1,False
135,1,False
53,1,False
종목,1,False
거래량,1,True
600,1,False
200,1,False
517,1,False
이미지,1,True
바다,1,False
항구,1,False
라인,1,False
배,1,True
HJ중공업,1,False
삭제,1,False
24시간,1,False
팬더,1,False
2차 항셍,1,False
항셍 리딩 인증,1,False
주식 투자,1,False
주식 상담,1,False
aia771,1,False
주식 거래,1,True
항생 리딩 인증,1,False
1분 봉 차트,1,False
1분 차트,1,False
해외선물투자,1,False
6월 12일,1,False
주식 시장,1,False
주식 분석,1,False
주식 종목,1,False
1분 봉,1,False
주식 정보,1,True
가격 변동,1,False
회의참석자,1,False
의자,1,True
유리컵,1,False
배경화면,1,False
수어 통역사,1,False
노트북스티커,1,False
국기,1,False
이름표,1,False
마이크,1,True
노트북,1,True
JTV NEWS 로고,1,False
신규,1,False
금캐기,1,False
채굴량,1,False
무료,1,False
인증하기,1,False
광속 채굴기,1,False
금 채굴기,1,False
채굴기 내역,1,False
금,1,False
급속 채굴기,1,False
가입,1,False
리뷰 작성,1,False
가속 채굴기,1,False
친구 내역,1,False
금고 저장하기,1,False
고속 채굴기,1,False
친구 초대,1,False
채굴 속도,1,False
추가 채굴기,1,False
090원,1,False
885,1,False
한화엔진,1,False
성문전자,1,False
1월 23일,1,False
455,1,False
휴림로봇,1,False
2,1,False
한화오션,1,False
현대건설,1,False
80만 원,1,False
긴머리,1,False
금속,1,False
부품,1,False
액체 질소,1,False
나사,1,False
벽,1,True
복도,1,False
